,transit_timestamp,station_complex_id,station_complex,borough,routes,payment_method,ridership,transfers,latitude,longitude,georeference
0,2023-01-28T18:00:00.000,H007,1 Av (L),M,L,all,1450.0,33.0,40.730953,-73.98163,"{'type': 'Point', 'coordinates': [-73.98163, 40.730953]}"
1,2023-01-03T12:00:00.000,R252,103 St (6),M,6,all,283.0,1.0,40.7906,-73.94748,"{'type': 'Point', 'coordinates': [-73.94748, 40.7906]}"
2,2023-01-04T20:00:00.000,R252,103 St (6),M,6,all,174.0,0.0,40.7906,-73.94748,"{'type': 'Point', 'coordinates': [-73.94748, 40.7906]}"
3,2023-01-06T19:00:00.000,R170,103 St (1),M,1,all,491.0,3.0,40.799446,-73.968376,"{'type': 'Point', 'coordinates': [-73.968376, 40.799446]}"
4,2023-01-04T17:00:00.000,H007,1 Av (L),M,L,all,1427.0,36.0,40.730953,-73.98163,"{'type': 'Point', 'coordinates': [-73.98163, 40.730953]}"
5,2023-01-25T19:00:00.000,H007,1 Av (L),M,L,all,997.0,14.0,40.730953,-73.98163,"{'type': 'Point', 'coordinates': [-73.98163, 40.730953]}"
6,2023-01-07T14:00:00.000,R170,103 St (1),M,1,all,463.0,4.0,40.799446,-73.968376,"{'type': 'Point', 'coordinates': [-73.968376, 40.799446]}"
7,2023-01-11T23:00:00.000,R170,103 St (1),M,1,all,86.0,1.0,40.799446,-73.968376,"{'type': 'Point', 'coordinates': [-73.968376, 40.799446]}"
8,2023-01-29T05:00:00.000,H007,1 Av (L),M,L,all,30.0,0.0,40.730953,-73.98163,"{'type': 'Point', 'coordinates': [-73.98163, 40.730953]}"
9,2023-01-09T21:00:00.000,H007,1 Av (L),M,L,all,459.0,9.0,40.730953,-73.98163,"{'type': 'Point', 'coordinates': [-73.98163, 40.730953]}"
10,2023-01-04T03:00:00.000,R252,103 St (6),M,6,all,16.0,0.0,40.7906,-73.94748,"{'type': 'Point', 'coordinates': [-73.94748, 40.7906]}"
11,2023-01-19T04:00:00.000,H007,1 Av (L),M,L,all,16.0,1.0,40.730953,-73.98163,"{'type': 'Point', 'coordinates': [-73.98163, 40.730953]}"
12,2023-01-29T15:00:00.000,R170,103 St (1),M,1,all,422.0,1.0,40.799446,-73.968376,"{'type': 'Point', 'coordinates': [-73.968376, 40.799446]}"
13,2023-01-06T16:00:00.000,R252,103 St (6),M,6,all,859.0,4.0,40.7906,-73.94748,"{'type': 'Point', 'coordinates': [-73.94748, 40.7906]}"
14,2023-01-08T13:00:00.000,H007,1 Av (L),M,L,all,963.0,17.0,40.730953,-73.98163,"{'type': 'Point', 'coordinates': [-73.98163, 40.730953]}"
15,2023-01-11T04:00:00.000,R170,103 St (1),M,1,all,17.0,0.0,40.799446,-73.968376,"{'type': 'Point', 'coordinates': [-73.968376, 40.799446]}"
16,2023-01-01T00:00:00.000,H007,1 Av (L),M,L,all,469.0,5.0,40.730953,-73.98163,"{'type': 'Point', 'coordinates': [-73.98163, 40.730953]}"
17,2023-01-14T05:00:00.000,H007,1 Av (L),M,L,all,2.0,0.0,40.730953,-73.98163,"{'type': 'Point', 'coordinates': [-73.98163, 40.730953]}"
18,2023-01-23T01:00:00.000,R170,103 St (1),M,1,all,7.0,0.0,40.799446,-73.968376,"{'type': 'Point', 'coordinates': [-73.968376, 40.799446]}"
19,2023-01-31T02:00:00.000,H007,1 Av (L),M,L,all,6.0,0.0,40.730953,-73.98163,"{'type': 'Point', 'coordinates': [-73.98163, 40.730953]}"
20,2023-01-06T04:00:00.000,H007,1 Av (L),M,L,all,12.0,0.0,40.730953,-73.98163,"{'type': 'Point', 'coordinates': [-73.98163, 40.730953]}"
21,2023-01-22T23:00:00.000,R170,103 St (1),M,1,all,70.0,0.0,40.799446,-73.968376,"{'type': 'Point', 'coordinates': [-73.968376, 40.799446]}"
22,2023-01-27T18:00:00.000,R170,103 St (1),M,1,all,679.0,9.0,40.799446,-73.968376,"{'type': 'Point', 'coordinates': [-73.968376, 40.799446]}"
23,2023-01-19T10:00:00.000,R170,103 St (1),M,1,all,450.0,1.0,40.799446,-73.968376,"{'type': 'Point', 'coordinates': [-73.968376, 40.799446]}"
24,2023-01-05T22:00:00.000,R252,103 St (6),M,6,all,96.0,0.0,40.7906,-73.94748,"{'type': 'Point', 'coordinates': [-73.94748, 40.7906]}"
25,2023-01-06T09:00:00.000,R170,103 St (1),M,1,all,491.0,3.0,40.799446,-73.968376,"{'type': 'Point', 'coordinates': [-73.968376, 40.799446]}"
